,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
8856,2017,Senegal,16,28,Zimbabwe,13,6,,2019 Rugby World Cup Qualifier / African Championship D1,Dakar,24 Jun 2017,Details
8857,2017,Romania,56,5,Brazil,35,0,,Brazil tour,Bucharest,24 Jun 2017,Details
8858,2017,Argentina,45,29,Georgia,26,8,,Georgia tour,San Salvador de Juruy,24 Jun 2017,Details
8859,2017,Canada,28,28,USA,15,21,,2019 Rugby World Cup Qualifier,ONT,24 Jun 2017,Details
8860,2017,Tonga,30,26,Samoa,20,16,,2019 Rugby World Cup Qualifier / South Pacific Championship,Nuku A'lofa,1 Jul 2017,Details
8861,2017,New Zealand,21,24,Lions,9,9,,British and Irish Lions tour,Wellington,1 Jul 2017,Details
8862,2017,Senegal,16,17,Uganda,13,17,,2019 Rugby World Cup Qualifier / African Championship D1,Dakar,1 Jul 2017,Details
8863,2017,Tunisia,7,53,Namibia,7,17,,2019 Rugby World Cup Qualifier / African Championship D1,Monastir,1 Jul 2017,Details
8864,2017,USA,52,16,Canada,19,9,,2019 Rugby World Cup Qualifier,San Diego,1 Jul 2017,Details
8865,2017,Botswana,25,58,Ivory Coast,6,39,,2019 Rugby World Cup Qualifier / African Championship D2,Casablanca,5 Jul 2017,Details
8866,2017,Morocco,57,33,Madagascar,29,26,,2019 Rugby World Cup Qualifier / African Championship D2,Casablanca,5 Jul 2017,Details
8867,2017,Tonga,10,14,Fiji,3,3,,2019 Rugby World Cup Qualifier / South Pacific Championship,Nuku A'lofa,8 Jul 2017,Details
8868,2017,New Zealand,15,15,Lions,12,6,,British and Irish Lions tour,Auckland,8 Jul 2017,Details
8869,2017,Kenya,100,10,Tunisia,46,10,,2019 Rugby World Cup Qualifier / African Championship D1,Nairobi,8 Jul 2017,Details
8870,2017,Morocco,8,3,Ivory Coast,3,0,,2019 Rugby World Cup Qualifier / African Championship D2,Casablanca,8 Jul 2017,Details
8871,2017,Namibia,95,0,Senegal,36,0,,2019 Rugby World Cup Qualifier / African Championship D1,Windhoek,8 Jul 2017,Details
8872,2017,Botswana,24,47,Madagascar,12,26,,2019 Rugby World Cup Qualifier / African Championship D2,Casablanca,8 Jul 2017,Details
8873,2017,Samoa,16,38,Fiji,16,14,,2019 Rugby World Cup Qualifier / South Pacific Championship,Apia,15 Jul 2017,Details
8874,2017,Kenya,45,25,Senegal,24,10,,2019 Rugby World Cup Qualifier / African Championship D1,Nairobi,15 Jul 2017,Details
8875,2017,Uganda,78,17,Tunisia,43,0,,2019 Rugby World Cup Qualifier / African Championship D1,Kampala,15 Jul 2017,Details
8876,2017,Namibia,31,26,Zimbabwe,7,20,,2019 Rugby World Cup Qualifier / African Championship D1,Windhoek,15 Jul 2017,Details
8877,2017,Uganda,24,48,Namibia,10,22,,2019 Rugby World Cup Qualifier / African Championship D1,Kampala,22 Jul 2017,Details
8878,2017,Zimbabwe,22,41,Kenya,12,17,,2019 Rugby World Cup Qualifier / African Championship D1,Bulawayo,22 Jul 2017,Details
8879,2017,Zimbabwe,23,31,Tunisia,13,16,,2019 Rugby World Cup Qualifier / African Championship D1,Harare,29 Jul 2017,Details
8880,2017,Namibia,45,7,Kenya,14,0,,2019 Rugby World Cup Qualifier / African Championship D1,Windhoek,29 Jul 2017,Details
8881,2017,Cook Islands,9,13,Tahiti,-,-,,2019 Rugby World Cup Qualifier,Raratonga,4 Aug 2017,Details
8882,2017,Uganda,38,12,Zimbabwe,26,12,,2019 Rugby World Cup Qualifier / African Championship D1,Kampala,5 Aug 2017,Details
8883,2017,Tunisia,26,18,Senegal,19,3,,2019 Rugby World Cup Qualifier / African Championship D1,Monastir,5 Aug 2017,Details
8884,2017,Australia,34,54,New Zealand,6,40,,Rugby Championship / Bledisloe Cup,Sydney,19 Aug 2017,Details
8885,2017,South Africa,37,15,Argentina,13,5,,Rugby Championship,Port Elizabeth,19 Aug 2017,Details
8886,2017,Kenya,19,19,Hong Kong,12,14,,Hong Kong tour,Nairobi,20 Aug 2017,Details
8887,2017,New Zealand,35,29,Australia,14,17,,Rugby Championship / Bledisloe Cup,Dunedin,26 Aug 2017,Details
8888,2017,Kenya,34,43,Hong Kong,6,19,,Hong Kong tour,Nairobi,26 Aug 2017,Details
8889,2017,Argentina,23,41,South Africa,10,17,,Rugby Championship,Salta,26 Aug 2017,Details
8890,2017,Costa Rica,91,5,Panama,-,-,,South American Championship,Tres Rios,27 Aug 2017,Details
8891,2017,Guatemala,57,19,Nicaragua,-,-,,South American Championship,Tres Rios,27 Aug 2017,Details
8892,2017,Guatemala,65,6,Panama,-,-,,South American Championship,Tres Rios,30 Aug 2017,Details
8893,2017,Costa Rica,58,7,Nicaragua,-,-,,South American Championship,Tres Rios,30 Aug 2017,Details
8894,2017,Costa Rica,8,8,Guatemala,-,-,,South American Championship,Tres Rios,2 Sep 2017,Details
8895,2017,Nicaragua,46,36,Panama,-,-,,South American Championship,Tres Rios,2 Sep 2017,Details
8896,2017,New Zealand,39,22,Argentina,15,16,,Rugby Championship,New Plymouth,9 Sep 2017,Details
8897,2017,Australia,23,23,South Africa,13,10,,Rugby Championship / Mandela Challenge Plate,Perth,9 Sep 2017,Details
8898,2017,New Zealand,57,0,South Africa,31,0,,Rugby Championship / Freedom Cup,North Shore City,16 Sep 2017,Details
8899,2017,Australia,45,20,Argentina,10,13,,Rugby Championship / Puma Trophy,Canberra,16 Sep 2017,Details
8900,2017,South Africa,27,27,Australia,10,13,,Rugby Championship / Mandela Challenge Plate,Bloemfontein,30 Sep 2017,Details
8901,2017,Argentina,10,36,New Zealand,3,29,,Rugby Championship,Buenos Aires,30 Sep 2017,Details
8902,2017,South Africa,24,25,New Zealand,3,8,,Rugby Championship / Freedom Cup,Cape Town,7 Oct 2017,Details
8903,2017,Peru,3,50,Colombia,3,29,,South American Championship,Fundo la Querencia de Lur,7 Oct 2017,Details
8904,2017,Argentina,20,37,Australia,13,13,,Rugby Championship / Puma Trophy,Mendoza,7 Oct 2017,Details
8905,2017,Finland,15,8,Norway,12,8,,FIRA Championship D2,Helsinki,14 Oct 2017,Details
8906,2017,Sweden,12,10,Hungary,5,10,,FIRA Championship D2,Norrkoping,14 Oct 2017,Details
8907,2017,Denmark,3,18,Luxembourg,3,8,,FIRA Championship D2,Odense,14 Oct 2017,Details
8908,2017,Peru,21,33,Venezuela,-,-,,South American Championship,Fundo la Querencia de Lur,14 Oct 2017,Details
8909,2017,Lesotho,60,5,Swaziland,22,5,,African Championship D2,Maseru,15 Oct 2017,Details
8910,2017,Malawi,11,25,Swaziland,-,-,,African Championship D2,Maseru,18 Oct 2017,Details
8911,2017,Lesotho,67,3,Malawi,33,3,,African Championship D2,Maseru,21 Oct 2017,Details
8912,2017,Australia,23,18,New Zealand,12,13,,New Zealand tour / Bledisloe Cup,Brisbane,21 Oct 2017,Details
8913,2017,Hungary,6,12,Latvia,6,3,,FIRA Championship D2,Esztergom,21 Oct 2017,Details
8914,2017,Andorra,22,27,Israel,5,7,,FIRA Championship D2,Andorra-la-Vella,21 Oct 2017,Details
8915,2017,Austria,27,25,Serbia & Mon,17,15,,FIRA Championship D2,Vienna,21 Oct 2017,Details
8916,2017,Colombia,53,15,Venezuela,19,15,,South American Championship,Guarne,21 Oct 2017,Details
8917,2017,Czechia,19,14,Poland,6,3,,FIRA Championship D1,Prague,28 Oct 2017,Details
8918,2017,Latvia,19,33,Lithuania,16,14,,FIRA Championship D2,Jelgava,28 Oct 2017,Details
8919,2017,Norway,12,24,Denmark,12,19,,FIRA Championship D2,Oslo,28 Oct 2017,Details
8920,2017,Ukraine,29,8,Sweden,15,5,,FIRA Championship D2,Odessa,28 Oct 2017,Details
8921,2017,Bosnia & Her,20,52,Malta,8,40,,FIRA Championship D2,Zenica,28 Oct 2017,Details
8922,2017,Croatia,32,17,Israel,17,5,,FIRA Championship D2,Split,28 Oct 2017,Details
8923,2017,Serbia & Mon,21,30,Slovenia,21,20,,FIRA Championship D2,Starcevo,28 Oct 2017,Details
8924,2017,Slovenia,29,15,Slovakia,18,7,,FIRA Championship D2,Ljubliana,4 Nov 2017,Details
8925,2017,Japan,30,63,Australia,3,35,,Australia tour,Yokohama,4 Nov 2017,Details
8926,2017,Laos,3,49,Thailand,3,34,,Asian - Division 3,Vientiane,4 Nov 2017,Details
8927,2017,Lithuania,22,12,Ukraine,19,0,,FIRA Championship D2,Siauliai,4 Nov 2017,Details
8928,2017,Malta,56,8,Croatia,30,8,,FIRA Championship D2,Paola,4 Nov 2017,Details
8929,2017,Chile,23,3,Kenya,6,3,,Cup of Nations,Hong Kong,10 Nov 2017,Details
8930,2017,Hong Kong,13,16,Russia,3,13,,Cup of Nations,Hong Kong,10 Nov 2017,Details
8931,2017,Moldova,7,59,Netherlands,7,26,,FIRA Championship D1,Orhei,11 Nov 2017,Details
8932,2017,Cyprus,42,5,Austria,21,0,,FIRA Championship D2,Paphos,11 Nov 2017,Details
8933,2017,Israel,44,8,Bosnia & Her,32,8,,FIRA Championship D2,Netanya,11 Nov 2017,Details
8934,2017,Georgia,54,22,Canada,23,8,,Canada tour,Tbilisi,11 Nov 2017,Details
8935,2017,Germany,45,12,Brazil,26,0,,Brazil tour,Leipzig,11 Nov 2017,Details
8936,2017,Italy,19,10,Fiji,10,10,,Fiji tour,Catania,11 Nov 2017,Details
8937,2017,Scotland,44,38,Samoa,25,10,,Samoa tour,Murrayfield,11 Nov 2017,Details
8938,2017,England,21,8,Argentina,14,3,,Argentina tour,Twickenham,11 Nov 2017,Details
8939,2017,Luxembourg,64,0,Estonia,38,0,,FIRA Championship D2,Luxembourg City,11 Nov 2017,Details
8940,2017,Wales,21,29,Australia,13,22,,Australia tour / James Bevan Trophy,Millennium Stadium,11 Nov 2017,Details
8941,2017,Ireland,38,3,South Africa,14,0,,South Africa tour,Lansdowne Road,11 Nov 2017,Details
8942,2017,France,18,38,New Zealand,5,31,,New Zealand tour,Stade de France,11 Nov 2017,Details
8943,2017,Kenya,10,31,Russia,3,19,,Cup of Nations,Hong Kong,14 Nov 2017,Details
8944,2017,Hong Kong,13,6,Chile,7,0,,Cup of Nations,Hong Kong,14 Nov 2017,Details
8945,2017,C Taipai,21,27,Thailand,7,9,,Asian - Division 2,Tainan,15 Nov 2017,Details
8946,2017,India,0,49,Singapore,0,22,,Asian - Division 2,Tainan,15 Nov 2017,Details
8947,2017,Chile,11,42,Russia,11,35,,Cup of Nations,Hong Kong,18 Nov 2017,Details
8948,2017,C Taipai,37,19,India,18,14,,Asian - Division 2,Tainan,18 Nov 2017,Details
8949,2017,Singapore,38,13,Thailand,21,10,,Asian - Division 2,Tainan,18 Nov 2017,Details
8950,2017,Hong Kong,40,30,Kenya,22,13,,Cup of Nations,Hong Kong,18 Nov 2017,Details
8951,2017,Romania,17,13,Samoa,3,10,,Samoa tour,Bucharest,18 Nov 2017,Details
8952,2017,Belgium,19,23,Brazil,7,3,,Brazil tour,Brussels,18 Nov 2017,Details
8953,2017,Italy,15,31,Argentina,9,8,,Argentina tour,Firenze,18 Nov 2017,Details
8954,2017,Namibia,36,52,Uruguay,17,31,,Uruguay tour,Windhoek,18 Nov 2017,Details
8955,2017,Switzerland,27,30,Netherlands,8,24,,FIRA Championship D1,Yverdon,18 Nov 2017,Details
8956,2017,Wales,13,6,Georgia,10,3,,Georgia tour,Millennium Stadium,18 Nov 2017,Details
8957,2017,England,30,6,Australia,6,0,,Australia tour / Cook Cup,Twickenham,18 Nov 2017,Details
8958,2017,Portugal,45,12,Czechia,24,5,,FIRA Championship D1,Lisbon,18 Nov 2017,Details
8959,2017,Spain,27,37,Canada,17,17,,Canada tour,Madrid,18 Nov 2017,Details
8960,2017,Germany,17,46,USA,10,13,,United States of America tour,Wiesbaden,18 Nov 2017,Details
8961,2017,Japan,39,6,Tonga,27,6,,Japan tour / Tonga tour,Toulouse,18 Nov 2017,Details
8962,2017,Poland,13,0,Moldova,10,0,,FIRA Championship D1,Gdansk,18 Nov 2017,Details
8963,2017,Scotland,17,22,New Zealand,3,3,,New Zealand tour,Murrayfield,18 Nov 2017,Details
8964,2017,Ireland,23,20,Fiji,17,10,,Fiji tour,Lansdowne Road,18 Nov 2017,Details
8965,2017,France,17,18,South Africa,7,8,,South Africa tour,Stade de France,18 Nov 2017,Details
8966,2017,Italy,6,35,South Africa,6,21,,South Africa tour,Padova,25 Nov 2017,Details
8967,2017,Moldova,20,22,Switzerland,8,15,,FIRA Championship D1,Chisinau,25 Nov 2017,Details
8968,2017,Romania,20,25,Tonga,6,8,,Tonga tour,Bucharest,25 Nov 2017,Details
8969,2017,Georgia,21,20,USA,21,12,,United States of America tour,Tbilisi,25 Nov 2017,Details
8970,2017,Germany,10,32,Chile,3,14,,Chile tour,Offenbach,25 Nov 2017,Details
8971,2017,Namibia,34,39,Uruguay,17,17,,Uruguay tour,Windhoek,25 Nov 2017,Details
8972,2017,Slovakia,6,38,Cyprus,6,12,,FIRA Championship D2,Bratislava,25 Nov 2017,Details
8973,2017,Scotland,53,24,Australia,17,12,,Australia tour / Hopetoun Cup,Murrayfield,25 Nov 2017,Details
8974,2017,Spain,67,28,Brazil,31,7,,Brazil tour,Villajoyosa,25 Nov 2017,Details
8975,2017,England,48,14,Samoa,22,7,,Samoa tour,Twickenham,25 Nov 2017,Details
8976,2017,Wales,18,33,New Zealand,11,12,,New Zealand tour,Millennium Stadium,25 Nov 2017,Details
8977,2017,Ireland,28,19,Argentina,13,0,,Argentina tour / Admiral Brown Cup,Lansdowne Road,25 Nov 2017,Details
8978,2017,Canada,17,57,Fiji,10,33,,Fiji tour / Canada tour,Narbonne,25 Nov 2017,Details
8979,2017,France,23,23,Japan,13,8,,Japan tour,Paris,25 Nov 2017,Details
8980,2017,Wales,24,22,South Africa,21,10,,South Africa tour / Prince William Cup,Millennium Stadium,2 Dec 2017,Details
8981,2017,Morocco,17,16,Tunisia,-,-,,Maghreb Tri-Nations,Oujda,17 Dec 2017,Details
8982,2017,Algeria,36,13,Tunisia,-,-,,Maghreb Tri-Nations,Oujda,20 Dec 2017,Details
8983,2017,Morocco,20,13,Algeria,-,-,,Maghreb Tri-Nations,Oujda,23 Dec 2017,Details
8984,2017,"
Records include the following current or recent matches:
",,,,,,,,,,
8985,2017,"

Morocco v Algeria at Oujda, Maghreb Tri-Nations, Dec 23, 2017 [20-13 FT]
",,,,,,,,,,
8986,2017,"

Algeria v Tunisia at Oujda, Maghreb Tri-Nations, Dec 20, 2017 [36-13 FT]
",,,,,,,,,,
8987,2017,"

Morocco v Tunisia at Oujda, Maghreb Tri-Nations, Dec 17, 2017 [17-16 FT]
",,,,,,,,,,
8988,2018,Canada,29,38,Uruguay,17,21,,2019 Rugby World Cup Qualifier / Americas Rugby Championship,Vancouver,27 Jan 2018,Details
8989,2018,Switzerland,30,27,Ivory Coast,11,13,,Ivory Coast tour,Chens-sur-Leman,3 Feb 2018,Details
8990,2018,Wales,34,7,Scotland,14,0,,Six Nations,Millennium Stadium,3 Feb 2018,Details
8991,2018,France,13,15,Ireland,3,9,,Six Nations,Stade de France,3 Feb 2018,Details
8992,2018,Chile,14,16,Brazil,7,10,,2019 Rugby World Cup Qualifier / Americas Rugby Championship,Santiago,3 Feb 2018,Details
8993,2018,Uruguay,32,31,Canada,10,18,,2019 Rugby World Cup Qualifier,Montevideo,3 Feb 2018,Details
8994,2018,Italy,15,46,England,10,17,,Six Nations,Rome,4 Feb 2018,Details
8995,2018,Brazil,18,27,Uruguay,18,3,,Americas Rugby Championship,Pacaembu,9 Feb 2018,Details
8996,2018,Georgia,47,0,Belgium,28,0,,Six Nations B,Kutaisi,10 Feb 2018,Details
8997,2018,Romania,85,6,Germany,31,6,,2019 Rugby World Cup Qualifier / Six Nations B,Cluj,10 Feb 2018,Details
8998,2018,Russia,13,20,Spain,10,15,,2019 Rugby World Cup Qualifier / Six Nations B,Krasnodar,10 Feb 2018,Details
8999,2018,Ireland,56,19,Italy,28,0,,Six Nations,Lansdowne Road,10 Feb 2018,Details
9000,2018,Portugal,36,12,Netherlands,24,0,,FIRA Championship D1,Lisbon,10 Feb 2018,Details
9001,2018,England,12,6,Wales,12,3,,Six Nations,Twickenham,10 Feb 2018,Details
9002,2018,USA,29,10,Canada,14,7,,Americas Rugby Championship,Sacramento,10 Feb 2018,Details
9003,2018,Scotland,32,26,France,14,20,,Six Nations / Auld Alliance Trophy,Murrayfield,11 Feb 2018,Details
9004,2018,Russia,48,7,Belgium,19,0,,2019 Rugby World Cup Qualifier / Six Nations B,Krasnodar,17 Feb 2018,Details
9005,2018,Germany,0,64,Georgia,0,19,,Six Nations B,Offenbach,17 Feb 2018,Details
9006,2018,Brazil,5,45,Canada,0,26,,Americas Rugby Championship,Fullerton,17 Feb 2018,Details
9007,2018,USA,45,13,Chile,10,3,,Americas Rugby Championship,Fullerton,17 Feb 2018,Details
9008,2018,Spain,22,10,Romania,13,3,,2019 Rugby World Cup Qualifier / Six Nations B,Madrid,18 Feb 2018,Details
9009,2018,France,34,17,Italy,11,7,,Six Nations / Trophee Garibaldi,Marseille,23 Feb 2018,Details
9010,2018,Gibraltar,33,14,Hungary,15,7,,Hungary tour,Gibraltar,24 Feb 2018,Details
9011,2018,Ireland,37,27,Wales,15,13,,Six Nations,Lansdowne Road,24 Feb 2018,Details
9012,2018,Portugal,31,17,Switzerland,3,17,,FIRA Championship D1,Setubal,24 Feb 2018,Details
9013,2018,Scotland,25,13,England,22,6,,Six Nations / Calcutta Cup,Murrayfield,24 Feb 2018,Details
9014,2018,Chile,15,67,Uruguay,8,27,,Americas Rugby Championship,Santiago,24 Feb 2018,Details
9015,2018,Brazil,16,43,USA,10,26,,Americas Rugby Championship,Sao Jose dos Campos,24 Feb 2018,Details
9016,2018,Georgia,23,10,Spain,9,3,,Six Nations B,Tbilisi,3 Mar 2018,Details
9017,2018,Romania,25,15,Russia,10,8,,2019 Rugby World Cup Qualifier / Six Nations B,Cluj,3 Mar 2018,Details
9018,2018,Netherlands,71,30,Poland,28,13,,FIRA Championship D1,Amsterdam,3 Mar 2018,Details
9019,2018,Belgium,69,15,Germany,43,3,,2019 Rugby World Cup Qualifier / Six Nations B,Brussels,3 Mar 2018,Details
9020,2018,Uruguay,19,61,USA,0,40,,Americas Rugby Championship,Montevideo,3 Mar 2018,Details
9021,2018,Chile,17,33,Canada,3,22,,Americas Rugby Championship,La Serena,3 Mar 2018,Details
9022,2018,Moldova,10,29,Portugal,5,10,,FIRA Championship D1,Anenii-Noi,10 Mar 2018,Details
9023,2018,Romania,62,12,Belgium,29,5,,2019 Rugby World Cup Qualifier / Six Nations B,Cluj,10 Mar 2018,Details
9024,2018,Russia,9,29,Georgia,9,7,,Six Nations B,Krasnodar,10 Mar 2018,Details
9025,2018,Czechia,17,10,Switzerland,7,3,,FIRA Championship D1,Prague,10 Mar 2018,Details
9026,2018,Ireland,28,8,Scotland,14,3,,Six Nations / Centenary Quaich,Lansdowne Road,10 Mar 2018,Details
9027,2018,France,22,16,England,9,9,,Six Nations,Stade de France,10 Mar 2018,Details
9028,2018,Spain,84,10,Germany,39,0,,2019 Rugby World Cup Qualifier / Six Nations B,Madrid,11 Mar 2018,Details
9029,2018,Wales,38,14,Italy,17,7,,Six Nations,Millennium Stadium,11 Mar 2018,Details
9030,2018,Gibraltar,17,5,Finland,6,5,,Finland tour,Gibraltar,17 Mar 2018,Details
9031,2018,Italy,27,29,Scotland,17,12,,Six Nations,Rome,17 Mar 2018,Details
9032,2018,Bosnia & Her,20,17,Andorra,0,10,,FIRA Championship D2,Zenica,17 Mar 2018,Details
9033,2018,Israel,17,24,Malta,7,14,,FIRA Championship D2,Netanya,17 Mar 2018,Details
9034,2018,Netherlands,27,10,Czechia,17,0,,FIRA Championship D1,Amsterdam,17 Mar 2018,Details
9035,2018,Switzerland,30,24,Poland,12,24,,FIRA Championship D1,Geneva,17 Mar 2018,Details
9036,2018,England,15,24,Ireland,5,21,,Six Nations / Millennium Trophy,Twickenham,17 Mar 2018,Details
9037,2018,Wales,14,13,France,14,10,,Six Nations,Millennium Stadium,17 Mar 2018,Details
9038,2018,Georgia,25,16,Romania,10,6,,Six Nations B,Tbilisi,18 Mar 2018,Details
9039,2018,Belgium,18,10,Spain,12,0,,2019 Rugby World Cup Qualifier / Six Nations B,Brussels,18 Mar 2018,Details
9040,2018,Germany,3,57,Russia,3,33,,2019 Rugby World Cup Qualifier / Six Nations B,Cologne,18 Mar 2018,Details
9041,2018,Cyprus,17,5,Slovenia,5,0,,FIRA Championship D2,Paphos,24 Mar 2018,Details
9042,2018,Malta,89,3,Andorra,26,3,,FIRA Championship D2,Paola,24 Mar 2018,Details
9043,2018,Austria,56,0,Slovakia,26,0,,FIRA Championship D2,Vienna,24 Mar 2018,Details
9044,2018,Poland,25,27,Portugal,13,10,,FIRA Championship D1,Lodz,24 Mar 2018,Details
9045,2018,Slovenia,18,22,Austria,3,8,,FIRA Championship D2,Ljubliana,7 Apr 2018,Details
9046,2018,Curacao,17,46,Dominican,5,24,,Rugby Americas North 2,Kaya Mafalda Salsbach,14 Apr 2018,Details
9047,2018,Montenegro,0,57,Bulgaria,0,22,,FIRA Championship D3,Niksic,14 Apr 2018,Details
9048,2018,Luxembourg,45,5,Finland,24,0,,FIRA Championship D2,Luxembourg City,14 Apr 2018,Details
9049,2018,Slovakia,24,50,Serbia & Mon,12,24,,FIRA Championship D2,Piestany,21 Apr 2018,Details
9050,2018,Czechia,35,21,Moldova,6,7,,FIRA Championship D1,Prague,21 Apr 2018,Details
9051,2018,Hungary,25,29,Lithuania,6,17,,FIRA Championship D2,Szazhalombatta,21 Apr 2018,Details
9052,2018,Iran,17,8,Qatar,12,5,,Asian - Division 3,Beirut,24 Apr 2018,Details
9053,2018,Lebanon,62,3,Jordan,22,3,,Asian - Division 3,Beirut,24 Apr 2018,Details
9054,2018,Iran,17,29,Lebanon,10,10,,Asian - Division 3,Beirut,27 Apr 2018,Details
9055,2018,Jordan,11,25,Qatar,3,18,,Asian - Division 3,Beirut,27 Apr 2018,Details
9056,2018,Turkey,13,8,Montenegro,3,0,,FIRA Championship D3,Antalya,28 Apr 2018,Details
9057,2018,Malaysia,10,35,Korea,0,21,,2019 Rugby World Cup Qualifier / Asian - Top 3,Kuala Lumpur,28 Apr 2018,Details
9058,2018,Lithuania,43,22,Sweden,33,5,,FIRA Championship D2,Telsiu,28 Apr 2018,Details
9059,2018,Serbia & Mon,35,17,Cyprus,25,5,,FIRA Championship D2,Belgrade,28 Apr 2018,Details
9060,2018,Ukraine,19,19,Hungary,0,13,,FIRA Championship D2,Lvov,28 Apr 2018,Details
9061,2018,Denmark,127,5,Estonia,59,0,,FIRA Championship D2,Odense,28 Apr 2018,Details
9062,2018,Luxembourg,35,16,Norway,17,10,,FIRA Championship D2,Luxembourg City,28 Apr 2018,Details
9063,2018,Croatia,27,6,Bosnia & Her,7,6,,FIRA Championship D2,Zagreb,28 Apr 2018,Details
9064,2018,Barbados,14,60,Jamaica,14,15,,Rugby Americas North 1,Bridgetown,28 Apr 2018,Details
9065,2018,Malaysia,8,67,Hong Kong,5,27,,2019 Rugby World Cup Qualifier / Asian - Top 3,Kuala Lumpur,5 May 2018,Details
9066,2018,Bulgaria,39,25,Turkey,22,8,,FIRA Championship D3,Sofia,5 May 2018,Details
9067,2018,Latvia,14,32,Ukraine,6,8,,FIRA Championship D2,Riga,5 May 2018,Details
9068,2018,Andorra,18,18,Croatia,10,10,,FIRA Championship D2,Andorra-la-Vella,5 May 2018,Details
9069,2018,Brazil,28,12,Chile,15,0,,South American 6 Nations,Sao Paulo,5 May 2018,Details
9070,2018,Brunei,12,66,Guam,0,28,,Asian - Division 3,Bandar Seri Begawan,8 May 2018,Details
9071,2018,Ghana,57,0,Rwanda,29,0,,African Championship D3,Elmina,9 May 2018,Details
9072,2018,Lesotho,16,49,Mauritius,13,11,,African Championship D3,Elmina,9 May 2018,Details
9073,2018,China,12,52,Guam,0,31,,Asian - Division 3,Bandar Seri Begawan,10 May 2018,Details
9074,2018,Curacao,7,5,Guadeloupe,-,-,,Rugby Americas North 2,Les Abymes,11 May 2018,Details
9075,2018,Turk & Caic,63,12,B Virgin Is,-,-,,British Virgin Islands tour,Providenciales,12 May 2018,Details
9076,2018,Korea,21,30,Hong Kong,7,21,,2019 Rugby World Cup Qualifier / Asian - Top 3,Incheon,12 May 2018,Details
9077,2018,Brunei,18,39,China,10,13,,Asian - Division 3,Bandar Seri Begawan,12 May 2018,Details
9078,2018,Estonia,16,47,Norway,6,21,,FIRA Championship D2,Tartu,12 May 2018,Details
9079,2018,Finland,10,57,Denmark,0,33,,FIRA Championship D2,Helsinki,12 May 2018,Details
9080,2018,Sweden,50,27,Latvia,19,13,,FIRA Championship D2,Enkoping,12 May 2018,Details
9081,2018,Ghana,23,17,Mauritius,8,5,,African Championship D3,Elmina,12 May 2018,Details
9082,2018,Lesotho,22,32,Rwanda,0,24,,African Championship D3,Elmina,12 May 2018,Details
9083,2018,Paraguay,28,26,Colombia,15,26,,South American 6 Nations,Asuncion,12 May 2018,Details
9084,2018,Jamaica,37,29,Barbados,-,-,,Rugby Americas North 1,Ewarton,12 May 2018,Details
9085,2018,Kyrgyzstan,0,82,Pakistan,0,45,,Asian - Division 3,Almaty,16 May 2018,Details
9086,2018,Kazakhstan,55,6,Mongolia,26,3,,Asian - Division 3,Almaty,16 May 2018,Details
9087,2018,Korea,67,12,Malaysia,28,0,,2019 Rugby World Cup Qualifier / Asian - Top 3,Incheon,19 May 2018,Details
9088,2018,Lithuania,81,10,Malta,45,5,,FIRA Championship D2,Siauliai,19 May 2018,Details
9089,2018,Kazakhstan,48,0,Pakistan,26,0,,Asian - Division 3,Almaty,19 May 2018,Details
9090,2018,Brazil,67,5,Colombia,13,0,,South American 6 Nations,Sao Paulo,19 May 2018,Details
9091,2018,St Lucia,14,17,St V&G,-,-,,St Vincent and Grenadines tour,Castries,19 May 2018,Details
9092,2018,Trinidad & T,27,24,Bermuda,-,-,,Rugby Americas North,Port of Spain,19 May 2018,Details
9093,2018,Chile,97,0,Paraguay,54,0,,South American 6 Nations,Santiago,19 May 2018,Details
9094,2018,Thailand,18,12,India,-,-,,Asian - Division 2,Pattaya,20 May 2018,Details
9095,2018,C Taipai,44,5,India,29,0,,Asian - Division 2,Pattaya,23 May 2018,Details
9096,2018,Hong Kong,91,10,Malaysia,49,7,,2019 Rugby World Cup Qualifier / Asian - Top 3,Hong Kong,26 May 2018,Details
9097,2018,Thailand,21,28,C Taipai,3,14,,Asian - Division 2,Pattaya,26 May 2018,Details
9098,2018,Uganda,16,34,Kenya,9,24,,Elgon Cup,Kampala,26 May 2018,Details
9099,2018,Hong Kong,39,5,Korea,31,0,,2019 Rugby World Cup Qualifier / Asian - Top 3,Hong Kong,2 Jun 2018,Details
9100,2018,South Africa,20,22,Wales,3,14,,South Africa tour / Wales tour / Prince William Cup,Washington DC,2 Jun 2018,Details
9101,2018,Dominican,17,39,Guadeloupe,-,-,,Rugby Americas North 2,Juan Pablo Duarte,9 Jun 2018,Details
9102,2018,Georgia,16,15,Tonga,13,3,,South Pacific Championship,Suva,9 Jun 2018,Details
9103,2018,Fiji,24,22,Samoa,17,3,,South Pacific Championship,Suva,9 Jun 2018,Details
9104,2018,Japan,34,17,Italy,17,14,,Italy tour,Oita,9 Jun 2018,Details
9105,2018,New Zealand,52,11,France,8,11,,France tour,Auckland,9 Jun 2018,Details
9106,2018,Australia,18,9,Ireland,8,6,,Ireland tour / Lansdowne Cup,Brisbane,9 Jun 2018,Details
9107,2018,Estonia,10,77,Finland,10,34,,FIRA Championship D2,Tartu,9 Jun 2018,Details
9108,2018,South Africa,42,39,England,29,27,,England tour,Johannesburg,9 Jun 2018,Details
