,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
186,1906,Ireland,11,6,Wales,8,3,,Home Nations,Belfast,10 Mar 1906,Details
187,1906,Scotland,3,9,England,3,3,,Home Nations / Calcutta Cup,Inverleith,17 Mar 1906,Details
188,1906,France,8,35,England,0,22,,England tour,Parc des Princes,22 Mar 1906,Details
189,1906,Scotland,6,0,South Africa,-,-,,South Africa tour,Glasgow,17 Nov 1906,Details
190,1906,Ireland,12,15,South Africa,3,12,,South Africa tour,Belfast,24 Nov 1906,Details
191,1906,Wales,0,11,South Africa,0,6,,South Africa tour,Swansea,1 Dec 1906,Details
192,1906,England,3,3,South Africa,0,3,,South Africa tour,Crystal Palace,8 Dec 1906,Details
193,1906,"
Records include the following current or recent matches:
",,,,,,,,,,
194,1906,"

England v South Africa at Crystal Palace, Dec 8, 1906 [3-3 FT]
",,,,,,,,,,
195,1906,"

Wales v South Africa at Swansea, Dec 1, 1906 [0-11 FT]
",,,,,,,,,,
196,1906,"

Ireland v South Africa at Belfast, Nov 24, 1906 [12-15 FT]
",,,,,,,,,,
197,1907,England,41,13,France,13,13,,France tour,Richmond,5 Jan 1907,Details
198,1907,Wales,22,0,England,13,0,,Home Nations,Swansea,12 Jan 1907,Details
199,1907,Scotland,6,3,Wales,0,3,,Home Nations,Inverleith,2 Feb 1907,Details
200,1907,Ireland,17,9,England,14,0,,Home Nations,Lansdowne Road,9 Feb 1907,Details
201,1907,Scotland,15,3,Ireland,0,3,,Home Nations,Inverleith,23 Feb 1907,Details
202,1907,Wales,29,0,Ireland,6,0,,Home Nations,Cardiff,9 Mar 1907,Details
203,1907,England,3,8,Scotland,-,-,,Home Nations / Calcutta Cup,Blackheath,16 Mar 1907,Details
204,1907,Australia,6,26,New Zealand,0,13,,New Zealand tour,Sydney,20 Jul 1907,Details
205,1907,Australia,5,14,New Zealand,5,0,,New Zealand tour,Brisbane,3 Aug 1907,Details
206,1907,Australia,5,5,New Zealand,-,-,,New Zealand tour,Sydney,10 Aug 1907,Details
207,1907,"
Records include the following current or recent matches:
",,,,,,,,,,
208,1907,"

Australia v New Zealand at Sydney, 3rd Test, Aug 10, 1907 [5-5 FT]
",,,,,,,,,,
209,1907,"

Australia v New Zealand at Brisbane, 2nd Test, Aug 3, 1907 [5-14 FT]
",,,,,,,,,,
210,1907,"

Australia v New Zealand at Sydney, 1st Test, Jul 20, 1907 [6-26 FT]
",,,,,,,,,,
211,1908,France,0,19,England,0,6,,England tour,Colombes,1 Jan 1908,Details
212,1908,England,18,28,Wales,8,15,,Home Nations,Bristol,18 Jan 1908,Details
213,1908,Wales,6,5,Scotland,3,5,,Home Nations,Swansea,1 Feb 1908,Details
214,1908,England,13,3,Ireland,3,0,,Home Nations,Richmond,8 Feb 1908,Details
215,1908,Ireland,16,11,Scotland,13,3,,Home Nations,Lansdowne Road,29 Feb 1908,Details
216,1908,Wales,36,4,France,17,4,,France tour,Cardiff,2 Mar 1908,Details
217,1908,Ireland,5,11,Wales,5,5,,Home Nations,Belfast,14 Mar 1908,Details
218,1908,Scotland,16,10,England,7,10,,Home Nations / Calcutta Cup,Inverleith,21 Mar 1908,Details
219,1908,New Zealand,32,5,Anglo-Welsh,21,0,,Anglo-Welsh tour,Dunedin,6 Jun 1908,Details
220,1908,New Zealand,3,3,Anglo-Welsh,-,-,,Anglo-Welsh tour,Wellington,27 Jun 1908,Details
221,1908,New Zealand,29,0,Anglo-Welsh,12,0,,Anglo-Welsh tour,Auckland,25 Jul 1908,Details
222,1908,Wales,9,6,Australia,3,3,,Australia tour,Cardiff,12 Dec 1908,Details
223,1908,"
Records include the following current or recent matches:
",,,,,,,,,,
224,1908,"

Wales v Australia at Cardiff, Dec 12, 1908 [9-6 FT]
",,,,,,,,,,
225,1908,"

New Zealand v Anglo-Welsh at Auckland, 3rd Test, Jul 25, 1908 [29-0 FT]
",,,,,,,,,,
226,1908,"

New Zealand v Anglo-Welsh at Wellington, 2nd Test, Jun 27, 1908 [3-3 FT]
",,,,,,,,,,
227,1909,England,3,9,Australia,3,3,,Australia tour,Blackheath,9 Jan 1909,Details
228,1909,Wales,8,0,England,8,0,,Home Nations,Cardiff,16 Jan 1909,Details
229,1909,England,22,0,France,10,0,,France tour,Leicester,30 Jan 1909,Details
230,1909,Scotland,3,5,Wales,-,-,,Home Nations,Inverleith,6 Feb 1909,Details
231,1909,Ireland,5,11,England,0,5,,Home Nations,Lansdowne Road,13 Feb 1909,Details
232,1909,France,5,47,Wales,0,9,,Wales tour,Colombes,23 Feb 1909,Details
233,1909,Scotland,9,3,Ireland,3,0,,Home Nations,Inverleith,27 Feb 1909,Details
234,1909,Wales,18,5,Ireland,-,-,,Home Nations,Swansea,13 Mar 1909,Details
235,1909,England,8,18,Scotland,8,3,,Home Nations / Calcutta Cup,Richmond,20 Mar 1909,Details
236,1909,Ireland,19,8,France,8,0,,France tour,Lansdowne Road,20 Mar 1909,Details
237,1909,"
Records include the following current or recent matches:
",,,,,,,,,,
238,1909,"

Ireland v France at Lansdowne Road, Mar 20, 1909 [19-8 FT]
",,,,,,,,,,
239,1909,"

England v Scotland at Richmond, Home Nations, Mar 20, 1909 [8-18 FT]
",,,,,,,,,,
240,1909,"

Wales v Ireland at Swansea, Home Nations, Mar 13, 1909 [18-5 FT]
",,,,,,,,,,
241,1910,Wales,49,14,France,21,14,,Five Nations,Swansea,1 Jan 1910,Details
242,1910,England,11,6,Wales,11,3,,Five Nations,Twickenham,15 Jan 1910,Details
243,1910,Scotland,27,0,France,11,0,,Five Nations,Inverleith,22 Jan 1910,Details
244,1910,Wales,14,0,Scotland,8,0,,Five Nations,Cardiff,5 Feb 1910,Details
245,1910,England,0,0,Ireland,-,-,,Five Nations,Twickenham,12 Feb 1910,Details
246,1910,Ireland,0,14,Scotland,0,3,,Five Nations,Belfast,26 Feb 1910,Details
247,1910,France,3,11,England,0,8,,Five Nations,Parc des Princes,3 Mar 1910,Details
248,1910,Ireland,3,19,Wales,3,3,,Five Nations,Lansdowne Road,12 Mar 1910,Details
249,1910,Scotland,5,14,England,5,5,,Five Nations / Calcutta Cup,Inverleith,19 Mar 1910,Details
250,1910,France,3,8,Ireland,3,8,,Five Nations,Parc des Princes,28 Mar 1910,Details
251,1910,Australia,0,6,New Zealand,-,-,,New Zealand tour,Sydney,25 Jun 1910,Details
252,1910,Australia,11,0,New Zealand,3,0,,New Zealand tour,Sydney,27 Jun 1910,Details
253,1910,Australia,13,28,New Zealand,5,6,,New Zealand tour,Sydney,2 Jul 1910,Details
254,1910,South Africa,14,10,Britain,3,3,,Great Britain tour,Johannesburg,6 Aug 1910,Details
255,1910,South Africa,3,8,Britain,3,0,,Great Britain tour,Port Elizabeth,27 Aug 1910,Details
256,1910,South Africa,21,5,Britain,5,0,,Great Britain tour,Cape Town,3 Sep 1910,Details
257,1910,"
Records include the following current or recent matches:
",,,,,,,,,,
258,1910,"

South Africa v Great Britain at Cape Town, 3rd Test, Sep 3, 1910 [21-5 FT]
",,,,,,,,,,
259,1910,"

South Africa v Great Britain at Port Elizabeth, 2nd Test, Aug 27, 1910 [3-8 FT]
",,,,,,,,,,
260,1910,"

South Africa v Great Britain at Johannesburg, 1st Test, Aug 6, 1910 [14-10 FT]
",,,,,,,,,,
261,1911,France,16,15,Scotland,11,8,,Five Nations,Colombes,2 Jan 1911,Details
262,1911,Wales,15,11,England,6,3,,Five Nations,Swansea,21 Jan 1911,Details
263,1911,England,37,0,France,8,0,,Five Nations,Twickenham,28 Jan 1911,Details
264,1911,Scotland,10,32,Wales,4,7,,Five Nations,Inverleith,4 Feb 1911,Details
265,1911,Ireland,3,0,England,-,-,,Five Nations,Lansdowne Road,11 Feb 1911,Details
266,1911,Scotland,10,16,Ireland,3,8,,Five Nations,Inverleith,25 Feb 1911,Details
267,1911,France,0,15,Wales,-,-,,Five Nations,Parc des Princes,28 Feb 1911,Details
268,1911,Wales,16,0,Ireland,5,0,,Five Nations,Cardiff,11 Mar 1911,Details
269,1911,England,13,8,Scotland,8,3,,Five Nations / Calcutta Cup,Twickenham,18 Mar 1911,Details
270,1911,Ireland,25,5,France,0,5,,Five Nations,Cork,25 Mar 1911,Details
271,1911,"
Records include the following current or recent matches:
",,,,,,,,,,
272,1911,"

Ireland v France at Cork, Five Nations, Mar 25, 1911 [25-5 FT]
",,,,,,,,,,
273,1911,"

England v Scotland at Twickenham, Five Nations, Mar 18, 1911 [13-8 FT]
",,,,,,,,,,
274,1911,"

Wales v Ireland at Cardiff, Five Nations, Mar 11, 1911 [16-0 FT]
",,,,,,,,,,
275,1912,France,6,11,Ireland,6,11,,Five Nations,Parc des Princes,1 Jan 1912,Details
276,1912,England,8,0,Wales,-,-,,Five Nations,Twickenham,20 Jan 1912,Details
277,1912,Scotland,31,3,France,13,3,,Five Nations,Inverleith,20 Jan 1912,Details
278,1912,Wales,21,6,Scotland,7,3,,Five Nations,Swansea,3 Feb 1912,Details
279,1912,England,15,0,Ireland,3,0,,Five Nations,Twickenham,10 Feb 1912,Details
280,1912,Ireland,10,8,Scotland,7,3,,Five Nations,Lansdowne Road,24 Feb 1912,Details
281,1912,Ireland,12,5,Wales,0,5,,Five Nations,Belfast,9 Mar 1912,Details
282,1912,Scotland,8,3,England,-,-,,Five Nations / Calcutta Cup,Inverleith,16 Mar 1912,Details
