"","POS_SALE_BRANCH","sumB","sumSLOPE","sumSIDING","sumWINDOW","sumOTHER","meanD","meanPD","risk","meanCL","percent_PD","percent_D","clusterNum","clusterNum"
"104",190,90879286.37,41200569.28,9487213.46,2445569.21,76430936.78,878.49037856072,1491.90924127222,0,37223.817870529,0.00164163837642624,0.000966656334628434,2,3
"105",191,1434525.05,319028,180013.55,473479.86,838767.39,162.642717391304,476.378695652174,1.62364130434783,5600.728125,0.0332081127235927,0.0113377397899956,1,1
"106",193,42536170.86,14988658.09,2790387.7,1162233.27,47017024.11,257.517468321962,554.349653721849,0,14690.1965161853,0.00130324296360946,0.000605408204630204,3,4
"107",194,126359931.8,11670368.33,16293449.64,3609710.09,190100464.7,1321.92984725581,1887.03794759558,0,26167.9653570663,0.00149338316404155,0.00104616220381326,6,2
"108",195,54709237.96,11706561.92,6996374.9,955929.52,70265779.68,696.191417069243,1245.03483721907,0,18670.5531730029,0.00227573054139296,0.00127252991090509,3,4
"109",196,29015522.48,12686418.63,2990740.62,3597690.64,19468849.25,618.329715150319,822.749752647852,0,25016.2760976252,0.00283555036175882,0.00213103078042632,3,4
"110",197,18061891.88,2899674.16,2529603.05,1721478.78,21844211.22,174.783839269406,418.937505936073,0,16402.071203653,0.00231945528585499,0.000967693973757783,3,4
"111",198,31793537.61,2577679.72,9299546.16,2597772.14,34778354.04,307.003812045388,542.715194064591,0,7435.32393540879,0.00170699844956508,0.000965617025105211,3,4
"112",199,16573928.49,700029.78,1965210.09,1707321.21,24222255.61,332.798011497503,565.054932617095,0,13752.6855470738,0.00340929993126268,0.00200796094720874,3,4
"113",200,33480290.71,2885415.18,6297950.1,2772710.26,42930845.75,319.652773220125,629.067310538695,0,14051.0326188974,0.00187891830446623,0.000954749096980362,3,4
"114",202,51958772.83,1368401.99,13956601.84,2212526.89,69794321.92,1769.90874207257,2311.37288656424,0,17870.7544288983,0.00444847474386403,0.00340637133186999,6,4
"115",204,46463658.22,2372346.18,11317735.14,6760481.23,51483641.61,587.995384878257,913.754314395557,0,15718.2350696284,0.00196660002548451,0.00126549524381866,6,4
"116",205,43562727.68,2259870.94,13036851.83,3548951.12,49314391.74,776.024015826959,1356.04166130309,0,11461.2695710894,0.0031128483764015,0.0017813944561218,3,4
"117",207,356078.44,66264.55,46681.58,2295.51,480628.53,2.608,232.769,2,40867.6075,0.0653701470945559,0.000732422889743058,1,5
"118",210,44456758.57,12513610.41,9267674.64,2111521.46,41299754.58,640.902990450662,1505.67684871838,0,19140.0398307924,0.00338683452674039,0.00144163229858857,3,4
"119",211,36021473.07,7436831.86,1081647,580916.03,53414520.36,593.769494731801,1083.46219348659,0,26141.3959482759,0.00300782311534321,0.00164837649359297,3,4
"120",212,41956184.01,5600167.89,377313.95,309865.11,71035204.01,832.469285343485,1929.69536944108,0,27200.3779148642,0.00459931095969345,0.00198413965661193,3,4
"121",213,289294.4,47590.2,918.93,0,479426.51,0,0,3,0,0,0,1,1
"122",214,27920755.9,1710264.31,3927785.59,4416957.56,35812366.93,821.967271159295,1295.53026795614,0,13949.2623789577,0.00464002576648056,0.00294392914756042,3,4
"123",215,93303105.52,28480944.43,11328737.87,4103065.98,99020803.41,671.496616920292,1370.85037114058,0,12919.6353505896,0.00146924409803994,0.00071969374778887,6,2
"124",216,36725153.68,5322954.34,3877751.9,635958.55,53743603.37,869.674308342133,1723.31010876452,0,29508.7081942978,0.0046924517288079,0.00236806172663001,3,4
